x-axis,3,4,MATH
second,Volt,Volt,Volt
+44.9000E-06,+42.7734375000E+00,+41.9921875000E+00,-781.2500000E-03
+45.0000E-06,+42.9687500000E+00,+42.1875000000E+00,-781.2500000E-03
+45.1000E-06,+42.9687500000E+00,+42.3828125000E+00,-585.9375000E-03
+45.2000E-06,+42.8710937500E+00,+42.3828125000E+00,-488.2812500E-03
+45.3000E-06,+43.0664062500E+00,+42.3828125000E+00,-683.5937500E-03
+45.4000E-06,+43.1640625000E+00,+42.4804687500E+00,-683.5937500E-03
+45.5000E-06,+43.1640625000E+00,+42.1875000000E+00,-976.5625000E-03
+45.6000E-06,+43.2617187500E+00,+42.5781250000E+00,-683.5937500E-03
+45.7000E-06,+43.0664062500E+00,+42.4804687500E+00,-585.9375000E-03
+45.8000E-06,+43.4570312500E+00,+42.4804687500E+00,-976.5625000E-03
+45.9000E-06,+43.4570312500E+00,+42.7734375000E+00,-683.5937500E-03
+46.0000E-06,+43.0664062500E+00,+42.9687500000E+00,-97.6562500E-03
+46.1000E-06,+43.3593750000E+00,+42.7734375000E+00,-585.9375000E-03
+46.2000E-06,+43.5546875000E+00,+42.5781250000E+00,-976.5625000E-03
+46.3000E-06,+43.3593750000E+00,+43.0664062500E+00,-292.9687500E-03
+46.4000E-06,+43.5546875000E+00,+42.7734375000E+00,-781.2500000E-03
+46.5000E-06,+43.6523437500E+00,+42.8710937500E+00,-781.2500000E-03
+46.6000E-06,+43.5546875000E+00,+43.0664062500E+00,-488.2812500E-03
+46.7000E-06,+43.4570312500E+00,+43.0664062500E+00,-390.6250000E-03
+46.8000E-06,+43.8476562500E+00,+42.9687500000E+00,-878.9062500E-03
+46.9000E-06,+43.7500000000E+00,+42.8710937500E+00,-878.9062500E-03
+47.0000E-06,+43.6523437500E+00,+43.0664062500E+00,-585.9375000E-03
+47.1000E-06,+43.8476562500E+00,+43.4570312500E+00,-390.6250000E-03
+47.2000E-06,+43.6523437500E+00,+42.9687500000E+00,-683.5937500E-03
+47.3000E-06,+44.0429687500E+00,+43.3593750000E+00,-683.5937500E-03
+47.4000E-06,+43.7500000000E+00,+43.2617187500E+00,-488.2812500E-03
+47.5000E-06,+44.1406250000E+00,+43.4570312500E+00,-683.5937500E-03
+47.6000E-06,+44.2382812500E+00,+43.4570312500E+00,-781.2500000E-03
+47.7000E-06,+43.9453125000E+00,+43.4570312500E+00,-488.2812500E-03
+47.8000E-06,+44.2382812500E+00,+43.6523437500E+00,-585.9375000E-03
+47.9000E-06,+44.1406250000E+00,+43.6523437500E+00,-488.2812500E-03
+48.0000E-06,+44.2382812500E+00,+43.5546875000E+00,-683.5937500E-03
+48.1000E-06,+44.2382812500E+00,+43.7500000000E+00,-488.2812500E-03
+48.2000E-06,+44.4335937500E+00,+43.8476562500E+00,-585.9375000E-03
+48.3000E-06,+44.3359375000E+00,+43.7500000000E+00,-585.9375000E-03
+48.4000E-06,+44.5312500000E+00,+43.8476562500E+00,-683.5937500E-03
+48.5000E-06,+44.5312500000E+00,+43.9453125000E+00,-585.9375000E-03
+48.6000E-06,+44.4335937500E+00,+44.0429687500E+00,-390.6250000E-03
+48.7000E-06,+44.6289062500E+00,+43.8476562500E+00,-781.2500000E-03
+48.8000E-06,+44.3359375000E+00,+43.9453125000E+00,-390.6250000E-03
+48.9000E-06,+44.6289062500E+00,+43.9453125000E+00,-683.5937500E-03
